,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,avgjune,sub
81,Haryana Delhi & Chandigarh,1982,21.4,20.0,70.7,33.1,57.3,29.9,99.2,150.4,5.4,3.2,2.4,13.6,506.6,41.4,161.1,284.9,19.2,0,9.966666666666667,27.4
82,Haryana Delhi & Chandigarh,1983,38.0,5.3,6.4,82.5,35.3,29.5,218.3,240.7,79.8,5.4,0.0,3.3,744.5,43.2,124.3,568.2,8.7,0,9.833333333333334,5.799999999999997
83,Haryana Delhi & Chandigarh,1984,1.9,14.5,0.4,2.7,0.7,48.6,154.2,179.5,75.5,0.9,0.0,0.3,479.2,16.4,3.8,457.8,1.1,0,16.2,47.9
84,Haryana Delhi & Chandigarh,1985,3.5,0.3,1.1,8.1,3.1,44.2,256.9,152.4,35.9,42.6,0.0,24.3,572.4,3.8,12.3,489.4,66.9,0,14.733333333333334,41.1
85,Haryana Delhi & Chandigarh,1986,7.2,31.0,12.7,3.3,36.0,85.1,92.5,108.9,52.9,11.2,0.7,9.5,450.9,38.2,52.1,339.3,21.4,0,28.366666666666664,49.099999999999994
86,Haryana Delhi & Chandigarh,1987,21.3,27.8,12.4,6.4,62.5,27.7,26.4,106.6,18.0,3.2,0.0,6.3,318.6,49.1,81.3,178.7,9.5,0,9.233333333333333,34.8
87,Haryana Delhi & Chandigarh,1988,1.5,13.2,34.5,3.6,3.4,82.4,288.5,222.5,183.4,0.0,0.1,12.0,845.0,14.7,41.5,776.7,12.1,0,27.46666666666667,79.0
88,Haryana Delhi & Chandigarh,1989,40.1,0.4,11.7,0.6,2.3,31.6,90.8,152.5,68.7,0.2,5.2,12.4,416.5,40.5,14.6,343.6,17.8,0,10.533333333333333,29.3
89,Haryana Delhi & Chandigarh,1990,0.0,79.5,4.9,2.2,21.9,25.3,201.2,137.7,194.5,2.7,14.1,19.2,703.1,79.5,28.9,558.7,36.0,0,8.433333333333334,3.400000000000002
90,Haryana Delhi & Chandigarh,1991,0.1,19.7,2.9,13.2,6.0,50.4,55.3,187.9,36.9,1.4,3.8,16.2,393.9,19.7,22.2,330.5,21.4,0,16.8,44.4
91,Haryana Delhi & Chandigarh,1992,20.3,16.4,0.5,1.2,7.8,17.2,124.5,171.6,59.0,3.8,7.2,0.0,429.7,36.7,9.6,372.3,11.1,0,5.733333333333333,9.399999999999999
92,Haryana Delhi & Chandigarh,1993,4.5,16.1,11.3,5.4,8.8,42.0,274.6,35.6,125.4,0.0,0.0,0.0,523.8,20.7,25.5,477.6,0.0,0,14.0,33.2
93,Haryana Delhi & Chandigarh,1994,20.1,11.3,0.6,7.6,8.5,51.3,275.8,160.6,28.2,0.0,0.1,0.2,564.4,31.4,16.7,515.9,0.3,0,17.099999999999998,42.8
94,Haryana Delhi & Chandigarh,1995,38.8,21.7,9.8,4.9,0.6,47.2,115.0,405.3,175.3,0.2,0.1,0.3,819.1,60.5,15.3,742.7,0.7,0,15.733333333333334,46.6
95,Haryana Delhi & Chandigarh,1996,16.0,30.5,11.6,0.6,5.1,109.4,85.8,249.2,116.3,19.9,0.0,0.3,644.6,46.5,17.3,560.7,20.2,0,36.46666666666667,104.30000000000001
96,Haryana Delhi & Chandigarh,1997,6.6,2.2,14.6,35.3,38.0,60.2,133.6,226.8,36.9,53.7,13.4,47.3,668.6,8.8,87.9,457.5,114.4,0,20.066666666666666,22.200000000000003
97,Haryana Delhi & Chandigarh,1998,0.4,24.6,25.4,9.1,6.1,68.4,154.8,161.6,150.9,78.2,5.8,0.0,685.3,25.0,40.6,535.6,84.0,0,22.8,62.300000000000004
98,Haryana Delhi & Chandigarh,1999,31.7,0.7,1.4,0.0,20.1,42.2,109.8,78.7,54.7,4.8,0.0,0.4,344.4,32.4,21.5,285.4,5.1,0,14.066666666666668,22.1
99,Haryana Delhi & Chandigarh,2000,17.1,29.1,1.4,1.3,22.8,58.9,146.8,87.9,17.5,0.0,0.4,1.2,384.4,46.2,25.6,311.1,1.6,0,19.633333333333333,36.099999999999994
100,Haryana Delhi & Chandigarh,2001,17.8,5.2,7.2,19.8,47.8,117.2,145.2,103.5,10.3,11.1,0.1,0.2,485.5,23.0,74.8,376.3,11.4,0,39.06666666666667,69.4
